,name,age,location,gender,join_date,total tweets,followers,following,verified,tweet,likes,retweets,date,word count,launguage,is quote,hashtags,trending,tweet id
0,decomposingg,,,,2013-11-28,80978,94,1114,False,"RT @JUNlPER: rightwingers:  the left is calling for violence day after day on online

average leftist post:  she sucking me off in a class…",0,912,2023-01-09,25,en,False,[],,1612459930421792769
1,Sirius_gul520,,,,2020-09-19,59471,2303,194,False,"RT @Krystyn31197823: 💫💙💫

... She ... is from a dream ... and dressed in everyday life... https://t.co/5j1jDumb21",0,76,2023-01-09,16,en,False,[],,1612459930413416448
2,10Danipm,,,,2015-05-22,1628,64,510,False,"RT @poodle_solana: $PODLE will be airdropping 20% of supply (followings tokenomics) to top and bluechip NFT projects. So, remind the owner…",0,28,2023-01-09,21,en,False,[],,1612459930409132034
3,MasterKitchHell,,,,2022-07-16,199963,64,1,False,Where did you season the chicken you idiotic effing idiot sandwich?!,0,0,2023-01-09,11,en,False,[],,1612459930409107456
4,L1XB3RRY,,,,2020-04-14,45807,2439,4771,False,"RT @shwaverse: Thanks God, my ATEEZ is safe🙏🏻✨
https://t.co/AuNE8bZd3G",0,41,2023-01-09,8,en,True,[],,1612459930404929537
5,Alinaxz__,,,,2022-11-11,402,2636,2537,False,RT @Lydialuvyo: me &amp; the loml in 50 years time. https://t.co/2F31UV6P6i,0,94,2023-01-09,11,en,False,[],,1612459930396594176
6,kamrilislammil1,,,,2015-12-23,1050,0,0,False,"the sun is268 going down 
#汝州 #新野 https://t.co/ZnKM15PV7x",0,0,2023-01-09,8,en,False,"[{'text': '汝州', 'indices': [26, 29]}, {'text': '新野', 'indices': [30, 33]}]",,1612459930342105090
7,shadow_twts,,,,2017-06-07,94819,135548,114,False,"RT @shadow_twts: Spotify Top 200 - January 8

Global
#82 Left and Right (1,254,324)
#92 Dreamers (1,206,260)
#196 My Universe (893,545) + r…",0,26,2023-01-09,19,en,False,[],,1612459930308562949
8,dickson87,,,,2010-05-14,257267,3235,4999,False,RT @LFCTransferRoom: ℹ️❗️@MirrorFootball: The price of Moises Caicedo has been slashed by £20M.,0,19,2023-01-09,13,en,False,[],,1612459930308444161
9,writedressjack,,,,2020-08-08,17971,96,232,False,"RT @jorymicah: Meanwhile, the poor and working class pay the price. #EndTheWars https://t.co/mPhbfNvIrV",0,20,2023-01-09,13,en,False,"[{'text': 'EndTheWars', 'indices': [68, 79]}]",,1612459930291941376
10,beomgyurchvs,,,,2018-08-22,9424,275,285,False,"RT @for_yawnzzn: 🦊: My most favourite thing in this world is my mom! 

#연준 #YEONJUN @TXT_members https://t.co/QcVcFbaN8A",0,2642,2023-01-09,17,en,False,"[{'text': '연준', 'indices': [71, 74]}, {'text': 'YEONJUN', 'indices': [75, 83]}]",,1612459930262597632
11,MajestyPJM,,,,2018-06-12,77349,1689,468,False,"RT @PJM_data: ""The harmony of warm sound and charming vocals will be felt in ""VIBE"", featuring Taeyang and Jimin. It's a song that unravels…",0,1045,2023-01-09,24,en,False,[],,1612459930245529602
12,ijustbetalkiin,,,,2022-11-04,296,16,19,False,factss they deserve the everything 💖 https://t.co/tktbCgGg05,0,0,2023-01-09,7,en,True,[],,1612459930237239298
13,cog_khil,,,,2012-03-29,18018,59,70,False,"She loved ways more appealing when they decided to part, elude
؟?
نمشے

🔹H3🔹
🔹H3🔹
🔹H3🔹",0,0,2023-01-09,11,en,False,[],,1612459930203586560
14,Mohamedsamy_l,,"El Behera, Egypt",,2022-09-09,363,700,534,True,RT @Sofiagains: RT•Drop your handles let's follow you asap  ♨️,0,79,2023-01-09,11,en,False,[],[],1612459930174242816
15,JassChantell,,,,2021-10-10,7498,694,157,False,RT @n1ghtgoddess: im the love of his life💗 his heart is mine,0,1,2023-01-09,12,en,False,[],,1612459930161668098
16,ShutTheHekUp,,,,2020-12-12,6328,14,88,False,RT @Brittymigs: No piece of comedy is as funny as your friend accidentally saying a word a little bit wrong,0,7861,2023-01-09,20,en,False,[],,1612459930153353217
17,BloombergAsia,,,,2012-05-23,328777,120795,560,True,"Morgan Stanley COO Jon Pruzan, a longtime lieutenant to James Gorman and once considered a potential candidate to succeed him as CEO, is exiting the firm https://t.co/236i4xhQNZ",0,0,2023-01-09,27,en,False,[],,1612459930153254921
18,Hajen_ss,,,,2021-11-25,1412,273,54,False,"RT @GirlsOnTop_SM: GOT the beat The 1st mini Album 〖Stamp On It〗 : Album Detail (Photobook Ver.)
➫ 2023.01.16 6PM KST

💿Pre-order
https://t…",0,5661,2023-01-09,20,en,False,[],,1612459930140966914
19,TimothyKangogo,,,,2017-04-24,69,9,31,False,RT @theblondebroker: Traveling across the country blasting my Disney playlist the whole way. How long until security yeets me out of the ca…,0,7,2023-01-09,23,en,False,[],,1612459930136502272
20,nuiyimp,,,,2016-09-10,9893,31,260,False,"RT @JINYOUNG: PARK JINYOUNG The 1st Album 
'Chapter 0: WITH'
TEASER PHOTO YOU ver.1

🔜2023.01.18(KST)

#박진영 #ParkJinYoung 
#Chapter0: #WITH…",0,4083,2023-01-09,16,en,False,"[{'text': '박진영', 'indices': [103, 107]}, {'text': 'ParkJinYoung', 'indices': [108, 121]}, {'text': 'Chapter0', 'indices': [123, 132]}, {'text': 'WITH', 'indices': [134, 139]}]",,1612459930094825473
21,CrisCringles,,,,2011-02-21,20633,524,801,False,RT @lastplacecomics: 🌊New comic: Do the Wave!🌊 https://t.co/FLoujLNROR,0,246,2023-01-09,8,en,False,[],,1612459930077757442
22,Bassy_Agozie,,,,2018-12-23,18943,693,482,False,"RT @lionofjada: Garrulous clown, I am sure you were not well briefed before hopping on this like a grasshopper. You have gotten away with a…",0,72,2023-01-09,25,en,True,[],,1612459930069393412
23,MohdKai71359269,,,,2022-08-09,3342,19,3,False,RT @INOXMovies: The super villain @TheJohnAbraham lethal @deepikapadukone and the dashing #Pathaan @iamsrk coming to your nearest #INOX cin…,0,98,2023-01-09,19,en,False,"[{'text': 'Pathaan', 'indices': [90, 98]}, {'text': 'INOX', 'indices': [130, 135]}]",,1612459930057048064
24,dmartinwriter,,"England, United Kingdom",,2009-11-02,14428,3069,2949,False,RT @NHSMillion: A Conservative peer advising the government during the coronavirus pandemic helped a company secure PPE contracts worth £50…,0,513,2023-01-09,20,en,False,[],[],1612459930052878341
25,StevenErlanger,,"Brussels, Belgium",,2011-12-06,36183,27310,2006,True,RT @NRC_Egeland: Our offices are nearly empty and all operations are paralysed across Afghanistan. Without both female and male staff we ca…,0,209,2023-01-09,22,en,False,[],[],1612459930052857857
26,S2O8O9,,,,2020-11-09,38030,133,63,False,"RT @juice_jy0809: 230109 ‘THE PIECE OF9’ SHOWCASE

#재윤 #JAEYOON #在允 #ジェユン #SF9 https://t.co/G98nMBcQWO",0,5,2023-01-09,12,en,False,"[{'text': '재윤', 'indices': [51, 54]}, {'text': 'JAEYOON', 'indices': [55, 63]}, {'text': '在允', 'indices': [64, 67]}, {'text': 'ジェユン', 'indices': [68, 73]}, {'text': 'SF9', 'indices': [74, 78]}]",,1612459930044489733
27,SHANKARVOICE1,,,,2022-07-03,11493,559,630,False,RT @dev__132: Trailer 🥺🫠...#pspk25 https://t.co/7XIJvTitMD,0,3,2023-01-09,5,en,False,"[{'text': 'pspk25', 'indices': [27, 34]}]",,1612459930031902720
28,Renelyst,,,,2022-10-04,1934,61,170,False,"RT @iambunazonzon: #bunafictionAU :

who's that one night stand...

#ZeeNuNew #ซนซน #ZeePruk #NuNew https://t.co/hrcMehvzzk",0,71,2023-01-09,12,en,False,"[{'text': 'bunafictionAU', 'indices': [19, 33]}, {'text': 'ZeeNuNew', 'indices': [68, 77]}, {'text': 'ซนซน', 'indices': [78, 83]}, {'text': 'ZeePruk', 'indices': [84, 92]}, {'text': 'NuNew', 'indices': [93, 99]}]",,1612459930019303426
29,prettykzhmrie,,,,2022-09-02,152,3,156,False,iPhone cutieee,0,0,2023-01-09,2,en,False,[],,1612459929998360576
30,__gastelum,,,,2010-12-03,63192,546,652,False,RT @edwarbteach: today's Ed https://t.co/Cqa83SVAXp,0,10,2023-01-09,5,en,False,[],,1612459929989971969
31,icecoldpiss1,,Afghanistan,,2022-04-10,1157,23,21,False,RT @WatcherGuru: JUST IN: 🇺🇸 US government officially seizes SBF's $455 million Robinhood $HOOD shares.,0,408,2023-01-09,14,en,False,[],[],1612459929989775363
32,AMeiyappan1,,,,2021-06-19,2022,6,198,False,"RT @AndhraBoxOffice: #Pongal 2023: Tamilnadu Theatrical Break-even.

#Varisu ₹72 Cr (MG Deal)
#Thunivu ₹58 Cr (Value) https://t.co/Rdb0iMoe…",0,98,2023-01-09,15,en,False,"[{'text': 'Pongal', 'indices': [21, 28]}, {'text': 'Varisu', 'indices': [69, 76]}, {'text': 'Thunivu', 'indices': [94, 102]}]",,1612459929969000451
33,AidaBughie,,,,2022-03-20,225,8,327,False,"RT @yoonerei: // genshin leaks 
(Unreliable) 

New hydro bow and a world boss,,, hm https://t.co/0ij081DKbq",0,931,2023-01-09,15,en,False,[],,1612459929964810241
34,jrlucier39,,Texas 'red-neck' country,,2018-02-16,43566,1603,2080,False,"RT @PeterOffworld: What happened to reading the Constitution, another Kevin stunt",0,3,2023-01-09,11,en,False,[],[],1612459929960603650
35,narasia_dy,,,,2021-08-23,65863,2317,2823,False,"RT @Maymytan: $4 | 56.000 IDR ~ 60 MINS 🦋

— Retweet

— RT Like &amp; Comment on @nigg_inu📌",0,460,2023-01-09,17,en,False,[],,1612459929935417345
