,name,age,city,country,gender,join_date,total tweets,followers,following,respectability,verified,tweet,likes,retweets,word count,is quote,hashtags,hashtag count,trending,date,tweet id
0,TrustinHerbert,,Fair Oaks,United States,,2020-08-27,15921,1935,2357,1.2180878552971577,False,Ragetweet... as opposed to retweet https://t.co/kcguz3xHZz,0,0,6,True,,0,"['Friday the 13th', 'Lori Harvey', 'Brandon Staley', 'All-Pro', 'Cutch', '#fridaymorning', 'Mike Williams', 'Founders Day', 'Trump Organization', '#FursuitFriday', 'Pirates', '#FridayFeeling', 'Dallas Zoo', 'Damson', '#FlashbackFriday', 'Martin Luther King Jr. Day', 'Dead End', '#MLKDay', 'Good Friday', 'Elvira', 'Yellen', 'Andrew Thomas', 'MICHAEL REEVES', 'Minneapolis Miracle', 'Matt Milano', 'Paul Ryan', 'Robbie Knievel', 'Happy Friyay', 'M&Ms', 'Twix', 'ON SALE NOW', 'Viernes 13', 'Dexter Lawrence', 'Marcus Jones', 'Sauce Gardner', 'Money Trees', 'Alpha Male', 'Kyle Korver', 'Bradberry', 'Redz', 'Robbie Bachman', 'Enes', 'Michael B Jordan', 'Guam', 'Hufanga', 'Jazz Fest', 'Sing About Me', 'Reddick', 'Dr. King', 'Keith Davis Jr.']",2023-01-13,1613957669181886464
1,thechub_b_w,,Houston,United States,,2021-02-11,113000,1632,1877,1.1501225490196079,False,I’m her twin https://t.co/Iqcr3HuLnP https://t.co/XyS05MoV8W,0,0,5,True,,0,"['GAME DAY', '#GoSpursGo', 'Lisa Marie', 'Elvis', 'Friday the 13th', 'Lori Harvey', 'Cutch', '#fridaymorning', 'Founders Day', 'Pirates', '#FridayFeeling', 'Trump Organization', 'Damson', '#FursuitFriday', '#FlashbackFriday', 'Good Friday', 'Martin Luther King Jr. Day', 'Dead End', 'Happy Friyay', 'Paul Ryan', 'MICHAEL REEVES', 'Minneapolis Miracle', 'Keith Davis Jr.', 'Guam', 'Redz', 'Kyle Korver', 'Viernes 13', 'M&Ms', 'Michael B Jordan', 'Enes', 'ON SALE NOW', 'Alpha Male', 'Money Trees', 'Twix', 'MEET DAY', 'Larry Fink', 'The Embrace', 'jongin', 'PNC Park', 'Happy Friday Everyone', 'Finally Friday', 'Daily Quordle 354', 'Dashy', 'Franklin Saint', 'Another Friday', 'Reynolds', 'Nutting', 'Dr. King', 'Burgh', 'Keenan Anderson']",2023-01-13,1613957666946322432
2,peacelovediam,,Roswell,United States,,2011-06-29,22016,929,665,0.7158234660925726,False,Some of y’all really do hate reciprocity. &amp; it shows.,0,0,10,False,,0,"['Friday the 13th', 'Lori Harvey', 'Brandon Staley', 'All-Pro', 'Cutch', '#fridaymorning', 'Mike Williams', 'Founders Day', 'Trump Organization', '#FursuitFriday', 'Pirates', '#FridayFeeling', 'Dallas Zoo', 'Damson', '#FlashbackFriday', 'Martin Luther King Jr. Day', 'Dead End', '#MLKDay', 'Good Friday', 'Elvira', 'Yellen', 'Andrew Thomas', 'MICHAEL REEVES', 'Minneapolis Miracle', 'Matt Milano', 'Paul Ryan', 'Robbie Knievel', 'Happy Friyay', 'M&Ms', 'Twix', 'ON SALE NOW', 'Viernes 13', 'Dexter Lawrence', 'Marcus Jones', 'Sauce Gardner', 'Money Trees', 'Alpha Male', 'Kyle Korver', 'Bradberry', 'Redz', 'Robbie Bachman', 'Enes', 'Michael B Jordan', 'Guam', 'Hufanga', 'Jazz Fest', 'Sing About Me', 'Reddick', 'Dr. King', 'Keith Davis Jr.']",2023-01-13,1613957666132328455
3,tmj_MD_pharm,,Oakland,United States,,2010-02-11,144,260,241,0.926923076923077,False,"Interested in a job in Oakland, MD? This could be a great fit. Click the link in our bio to apply: Pharmacy Technician at CVS Health #CVSPharmTech #PharmTech",0,0,28,False,"['CVSPharmTech', 'PharmTech']",2,"['Friday the 13th', 'Lori Harvey', 'Brandon Staley', 'All-Pro', 'Cutch', '#fridaymorning', 'Mike Williams', 'Founders Day', 'Trump Organization', '#FursuitFriday', 'Pirates', '#FridayFeeling', 'Dallas Zoo', 'Damson', '#FlashbackFriday', 'Martin Luther King Jr. Day', 'Dead End', '#MLKDay', 'Good Friday', 'Elvira', 'Yellen', 'Andrew Thomas', 'MICHAEL REEVES', 'Minneapolis Miracle', 'Matt Milano', 'Paul Ryan', 'Robbie Knievel', 'Happy Friyay', 'M&Ms', 'Twix', 'ON SALE NOW', 'Viernes 13', 'Dexter Lawrence', 'Marcus Jones', 'Sauce Gardner', 'Money Trees', 'Alpha Male', 'Kyle Korver', 'Bradberry', 'Redz', 'Robbie Bachman', 'Enes', 'Michael B Jordan', 'Guam', 'Hufanga', 'Jazz Fest', 'Sing About Me', 'Reddick', 'Dr. King', 'Keith Davis Jr.']",2023-01-13,1613957664375177216
4,_mariacollins,,Lake Forest,United States,,2021-05-24,887,457,94,0.20568927789934355,False,2023 surround yourself with good human beings,0,0,7,False,,0,"['Friday the 13th', 'Lori Harvey', 'Brandon Staley', 'All-Pro', 'Cutch', '#fridaymorning', 'Mike Williams', 'Founders Day', 'Trump Organization', '#FursuitFriday', 'Pirates', '#FridayFeeling', 'Dallas Zoo', 'Damson', '#FlashbackFriday', 'Martin Luther King Jr. Day', 'Dead End', '#MLKDay', 'Good Friday', 'Elvira', 'Yellen', 'Andrew Thomas', 'MICHAEL REEVES', 'Minneapolis Miracle', 'Matt Milano', 'Paul Ryan', 'Robbie Knievel', 'Happy Friyay', 'M&Ms', 'Twix', 'ON SALE NOW', 'Viernes 13', 'Dexter Lawrence', 'Marcus Jones', 'Sauce Gardner', 'Money Trees', 'Alpha Male', 'Kyle Korver', 'Bradberry', 'Redz', 'Robbie Bachman', 'Enes', 'Michael B Jordan', 'Guam', 'Hufanga', 'Jazz Fest', 'Sing About Me', 'Reddick', 'Dr. King', 'Keith Davis Jr.']",2023-01-13,1613957663867678726
5,SHS_BasketbaII,,Indiana,United States,,2014-03-18,1098,599,77,0.1285475792988314,False,Home game tonight vs Seeger. Youth league introductions before tip off. #family❤️🏀 https://t.co/IQqvND2TvR,0,0,13,False,['family'],1,"['Friday the 13th', 'Lori Harvey', 'Brandon Staley', 'All-Pro', 'Cutch', '#fridaymorning', 'Mike Williams', 'Founders Day', 'Trump Organization', '#FursuitFriday', 'Pirates', '#FridayFeeling', 'Dallas Zoo', 'Damson', '#FlashbackFriday', 'Martin Luther King Jr. Day', 'Dead End', '#MLKDay', 'Good Friday', 'Elvira', 'Yellen', 'Andrew Thomas', 'MICHAEL REEVES', 'Minneapolis Miracle', 'Matt Milano', 'Paul Ryan', 'Robbie Knievel', 'Happy Friyay', 'M&Ms', 'Twix', 'ON SALE NOW', 'Viernes 13', 'Dexter Lawrence', 'Marcus Jones', 'Sauce Gardner', 'Money Trees', 'Alpha Male', 'Kyle Korver', 'Bradberry', 'Redz', 'Robbie Bachman', 'Enes', 'Michael B Jordan', 'Guam', 'Hufanga', 'Jazz Fest', 'Sing About Me', 'Reddick', 'Dr. King', 'Keith Davis Jr.']",2023-01-13,1613957660503588866
6,ARMY19562,,Dallas,United States,,2022-08-22,21876,2064,5001,2.42296511627907,False,"YELLEN SAYS US TO TAKE 
EXTRAORDINARY STEPS TO AVERT  A DEFAULT.
#BLOOMBERG",0,0,12,False,['BLOOMBERG'],1,"['Friday the 13th', 'Lori Harvey', 'Brandon Staley', 'All-Pro', 'Cutch', '#fridaymorning', 'Mike Williams', 'Founders Day', 'Trump Organization', '#FursuitFriday', 'Pirates', '#FridayFeeling', 'Dallas Zoo', 'Damson', '#FlashbackFriday', 'Martin Luther King Jr. Day', 'Dead End', '#MLKDay', 'Good Friday', 'Elvira', 'Yellen', 'Andrew Thomas', 'MICHAEL REEVES', 'Minneapolis Miracle', 'Matt Milano', 'Paul Ryan', 'Robbie Knievel', 'Happy Friyay', 'M&Ms', 'Twix', 'ON SALE NOW', 'Viernes 13', 'Dexter Lawrence', 'Marcus Jones', 'Sauce Gardner', 'Money Trees', 'Alpha Male', 'Kyle Korver', 'Bradberry', 'Redz', 'Robbie Bachman', 'Enes', 'Michael B Jordan', 'Guam', 'Hufanga', 'Jazz Fest', 'Sing About Me', 'Reddick', 'Dr. King', 'Keith Davis Jr.']",2023-01-13,1613957659304071168
7,MoondogGrowlers,,Dunwoody,United States,,2012-01-10,5784,897,299,0.3333333333333333,False,Just posted a photo @ Moondog Growlers https://t.co/4zH2y7p8YH,0,0,8,False,,0,"['Friday the 13th', 'Lori Harvey', 'Brandon Staley', 'All-Pro', 'Cutch', '#fridaymorning', 'Mike Williams', 'Founders Day', 'Trump Organization', '#FursuitFriday', 'Pirates', '#FridayFeeling', 'Dallas Zoo', 'Damson', '#FlashbackFriday', 'Martin Luther King Jr. Day', 'Dead End', '#MLKDay', 'Good Friday', 'Elvira', 'Yellen', 'Andrew Thomas', 'MICHAEL REEVES', 'Minneapolis Miracle', 'Matt Milano', 'Paul Ryan', 'Robbie Knievel', 'Happy Friyay', 'M&Ms', 'Twix', 'ON SALE NOW', 'Viernes 13', 'Dexter Lawrence', 'Marcus Jones', 'Sauce Gardner', 'Money Trees', 'Alpha Male', 'Kyle Korver', 'Bradberry', 'Redz', 'Robbie Bachman', 'Enes', 'Michael B Jordan', 'Guam', 'Hufanga', 'Jazz Fest', 'Sing About Me', 'Reddick', 'Dr. King', 'Keith Davis Jr.']",2023-01-13,1613957657349718016
8,erikarenee21,,San Antonio,United States,,2019-12-02,238,200,634,3.17,False,Muchísimas gracias 🙏🏼 a @sologruperas por publicar éste lindo video sobre mi nuevo sencillo “Acércate” (feat. Alizé Niño) By Erika Renée 🫶🏼💕#sologruperas #erikarenée #acércate #nuevoestreno #musica #norteñojuvenil #norteñolight https://t.co/net2PIhcsY,0,0,29,False,"['sologruperas', 'erikarenée', 'acércate', 'nuevoestreno', 'musica', 'norteñojuvenil', 'norteñolight']",7,"['GAME DAY', '#GoSpursGo', 'Trumps', '#OpenDnD', '#PorVida', 'WotC', 'Friday the 13th', 'Lori Harvey', 'Brandon Staley', 'All-Pro', 'Cutch', '#fridaymorning', 'Founders Day', 'Trump Organization', '#FursuitFriday', 'Pirates', 'Mike Williams', 'Dallas Zoo', 'Damson', 'Martin Luther King Jr. Day', 'Dead End', 'Good Friday', 'Andrew Thomas', 'Minneapolis Miracle', 'Elvira', 'MICHAEL REEVES', 'Paul Ryan', 'Matt Milano', 'Happy Friyay', 'M&Ms', 'Robbie Knievel', 'ON SALE NOW', 'Yellen', 'Twix', 'Viernes 13', 'Dexter Lawrence', 'Alpha Male', 'Marcus Jones', 'Money Trees', 'Kyle Korver', 'Sauce Gardner', 'Redz', 'Michael B Jordan', 'Guam', 'Robbie Bachman', 'Enes', 'Keith Davis Jr.', 'MEET DAY', 'Dr. King', 'Jazz Fest']",2023-01-13,1613957657320394753
9,KatrinaMarie_3,,Buffalo,United States,,2022-07-28,561,21,23,1.0952380952380953,False,"I can love me better! ✌🏻
I do not own copyrights to the song/music. 
#Flowers #Music #MileyCyrus  #ICanLoveMeBetter 
@KatrinaMarie_3 https://t.co/Y8VxeOtF4c",0,0,20,False,"['Flowers', 'Music', 'MileyCyrus', 'ICanLoveMeBetter']",4,"['Friday the 13th', 'Lori Harvey', 'Brandon Staley', 'All-Pro', 'Cutch', '#fridaymorning', 'Mike Williams', 'Founders Day', 'Trump Organization', '#FursuitFriday', 'Pirates', '#FridayFeeling', 'Dallas Zoo', 'Damson', '#FlashbackFriday', 'Martin Luther King Jr. Day', 'Dead End', '#MLKDay', 'Good Friday', 'Elvira', 'Yellen', 'Andrew Thomas', 'MICHAEL REEVES', 'Minneapolis Miracle', 'Matt Milano', 'Paul Ryan', 'Robbie Knievel', 'Happy Friyay', 'M&Ms', 'Twix', 'ON SALE NOW', 'Viernes 13', 'Dexter Lawrence', 'Marcus Jones', 'Sauce Gardner', 'Money Trees', 'Alpha Male', 'Kyle Korver', 'Bradberry', 'Redz', 'Robbie Bachman', 'Enes', 'Michael B Jordan', 'Guam', 'Hufanga', 'Jazz Fest', 'Sing About Me', 'Reddick', 'Dr. King', 'Keith Davis Jr.']",2023-01-13,1613957656481497089
